date,store_id,sku_id,units_sold,price,promo_flag
2024-01-01,STORE-DEL-01,SKU-MILK-1L,66,28.00,1
2024-01-02,STORE-DEL-01,SKU-MILK-1L,53,28.00,0
2024-01-03,STORE-DEL-01,SKU-MILK-1L,49,28.00,1
2024-01-04,STORE-DEL-01,SKU-MILK-1L,35,28.00,0
2024-01-05,STORE-DEL-01,SKU-MILK-1L,60,28.00,0
2024-01-06,STORE-DEL-01,SKU-MILK-1L,77,28.00,0
2024-01-07,STORE-DEL-01,SKU-MILK-1L,72,28.00,0
2024-01-08,STORE-DEL-01,SKU-MILK-1L,33,28.00,0
2024-01-09,STORE-DEL-01,SKU-MILK-1L,29,28.00,0
2024-01-10,STORE-DEL-01,SKU-MILK-1L,46,28.00,1
2024-01-11,STORE-DEL-01,SKU-MILK-1L,44,28.00,0
2024-01-12,STORE-DEL-01,SKU-MILK-1L,50,28.00,0
2024-01-13,STORE-DEL-01,SKU-MILK-1L,48,28.00,0
2024-01-14,STORE-DEL-01,SKU-MILK-1L,66,28.00,0
2024-01-15,STORE-DEL-01,SKU-MILK-1L,88,28.00,0
2024-01-16,STORE-DEL-01,SKU-MILK-1L,42,28.00,0
2024-01-17,STORE-DEL-01,SKU-MILK-1L,0,28.00,0
2024-01-18,STORE-DEL-01,SKU-MILK-1L,45,28.00,0
2024-01-19,STORE-DEL-01,SKU-MILK-1L,37,28.00,0
2024-01-20,STORE-DEL-01,SKU-MILK-1L,39,28.00,0
2024-01-21,STORE-DEL-01,SKU-MILK-1L,51,28.00,0
2024-01-22,STORE-DEL-01,SKU-MILK-1L,59,28.00,0
2024-01-23,STORE-DEL-01,SKU-MILK-1L,45,28.00,0
2024-01-24,STORE-DEL-01,SKU-MILK-1L,57,28.00,0
2024-01-25,STORE-DEL-01,SKU-MILK-1L,56,28.00,0
2024-01-26,STORE-DEL-01,SKU-MILK-1L,48,28.00,0
2024-01-27,STORE-DEL-01,SKU-MILK-1L,53,28.00,0
2024-01-28,STORE-DEL-01,SKU-MILK-1L,54,28.00,0
2024-01-29,STORE-DEL-01,SKU-MILK-1L,57,28.00,0
2024-01-30,STORE-DEL-01,SKU-MILK-1L,38,28.00,0
2024-01-31,STORE-DEL-01,SKU-MILK-1L,0,28.00,0
2024-02-01,STORE-DEL-01,SKU-MILK-1L,36,28.00,0
2024-02-02,STORE-DEL-01,SKU-MILK-1L,40,28.00,0
2024-02-03,STORE-DEL-01,SKU-MILK-1L,42,28.00,0
2024-02-04,STORE-DEL-01,SKU-MILK-1L,49,28.00,0
2024-02-05,STORE-DEL-01,SKU-MILK-1L,59,28.00,0
2024-02-06,STORE-DEL-01,SKU-MILK-1L,67,28.00,0
2024-02-07,STORE-DEL-01,SKU-MILK-1L,26,28.00,0
2024-02-08,STORE-DEL-01,SKU-MILK-1L,40,28.00,0
2024-02-09,STORE-DEL-01,SKU-MILK-1L,33,28.00,0
2024-02-10,STORE-DEL-01,SKU-MILK-1L,36,28.00,0
2024-02-11,STORE-DEL-01,SKU-MILK-1L,37,28.00,0
2024-02-12,STORE-DEL-01,SKU-MILK-1L,49,28.00,0
2024-02-13,STORE-DEL-01,SKU-MILK-1L,38,28.00,0
2024-02-14,STORE-DEL-01,SKU-MILK-1L,55,28.00,0
2024-02-15,STORE-DEL-01,SKU-MILK-1L,33,28.00,0
2024-02-16,STORE-DEL-01,SKU-MILK-1L,40,28.00,0
2024-02-17,STORE-DEL-01,SKU-MILK-1L,54,28.00,0
2024-02-18,STORE-DEL-01,SKU-MILK-1L,24,28.00,0
2024-02-19,STORE-DEL-01,SKU-MILK-1L,52,28.00,0
2024-02-20,STORE-DEL-01,SKU-MILK-1L,43,28.00,0
2024-02-21,STORE-DEL-01,SKU-MILK-1L,54,28.00,0
2024-02-22,STORE-DEL-01,SKU-MILK-1L,46,28.00,0
2024-02-23,STORE-DEL-01,SKU-MILK-1L,47,28.00,0
2024-02-24,STORE-DEL-01,SKU-MILK-1L,67,28.00,0
2024-02-25,STORE-DEL-01,SKU-MILK-1L,36,28.00,0
2024-02-26,STORE-DEL-01,SKU-MILK-1L,74,28.00,0
2024-02-27,STORE-DEL-01,SKU-MILK-1L,46,28.00,0
2024-02-28,STORE-DEL-01,SKU-MILK-1L,38,28.00,0
2024-02-29,STORE-DEL-01,SKU-MILK-1L,75,28.00,0
2024-03-01,STORE-DEL-01,SKU-MILK-1L,33,28.00,1
2024-03-02,STORE-DEL-01,SKU-MILK-1L,80,28.00,0
2024-03-03,STORE-DEL-01,SKU-MILK-1L,54,28.00,0
2024-03-04,STORE-DEL-01,SKU-MILK-1L,30,28.00,0
2024-03-05,STORE-DEL-01,SKU-MILK-1L,54,28.00,0
2024-03-06,STORE-DEL-01,SKU-MILK-1L,54,28.00,0
